"['EVS', '5/2', '12/5']"
"['1/2', '11/4', '11/2']"
"['EVS', '23/10', '5/2']"
"['6/4', '19/10', '19/10']"
"['19/20', '21/10', '3/1']"
"['17/10', '2/1', '8/5']"
"['7/10', '5/2', '18/5']"
"['21/20', '9/4', '12/5']"
"['1/2', '11/4', '11/2']"
"['16/1', '10/1', '1/25']"
"['13/10', '21/10', '21/10']"
"['8/11', '12/5', '19/5']"
"['8/13', '13/5', '5/1']"
"['4/6', '13/5', '4/1']"
"['7/5', '12/5', '17/10']"
"['2/5', '10/3', '13/2']"
"['10/11', '12/5', '14/5']"
"['4/5', '5/2', '16/5']"
"['4/1', '14/5', '8/13']"
"['19/5', '11/4', '13/20']"
"['6/5', '23/10', '21/10']"
"['7/10', '11/4', '11/4']"
"['7/10', '11/4', '16/5']"
"['11/4', '5/2', '3/4']"
"['17/20', '5/2', '5/2']"
"['4/6', '5/2', '3/1']"
"['8/11', '5/2', '3/1']"
"['EVS', '9/4', '9/4']"
"['1/8', '6/1', '10/1']"
"['4/7', '11/4', '15/4']"
"['8/15', '13/5', '9/2']"
"['11/4', '9/4', '17/20']"
"['8/13', '11/4', '10/3']"
"['7/5', '11/5', '8/5']"
"['21/10', '21/10', '11/10']"
"['15/4', '3/1', '8/15']"
"['2/1', '9/4', '11/10']"
"['10/3', '5/2', '4/6']"
"['5/6', '5/2', '5/2']"
"['21/10', '11/5', '11/10']"
"['2/5', '10/3', '5/1']"
"['1/4', '4/1', '8/1']"
"['4/5', '5/2', '5/2']"
"['10/3', '11/4', '8/13']"
"['11/10', '11/5', '2/1']"
"['8/13', '5/2', '4/1']"
"['11/8', '9/4', '13/8']"
"['11/10', '11/5', '2/1']"
"['5/2', '9/4', '10/11']"
"['2/1', '9/4', '6/5']"
"['9/2', '3/1', '4/9']"
"['EVS', '5/2', '21/10']"
"['9/2', '11/4', '1/2']"
"['8/5', '9/4', '11/8']"
"['9/4', '2/1', '11/10']"
"['10/11', '9/4', '5/2']"
"['5/1', '10/3', '2/5']"
"['11/8', '2/1', '7/4']"
"['6/5', '9/4', '7/4']"
"['8/15', '11/4', '4/1']"
"['17/20', '9/4', '11/4']"
"['1/4', '9/2', '6/1']"
"['8/15', '11/4', '4/1']"
"['1/14', '8/1', '14/1']"
"['4/6', '11/4', '3/1']"
"['11/8', '11/5', '6/4']"
"['11/10', '9/4', '2/1']"
"['4/7', '5/2', '4/1']"
"['10/11', '12/5', '12/5']"
"['1/5', '5/1', '8/1']"
"['3/1', '5/2', '4/6']"
"['6/4', '11/5', '6/4']"
"['11/10', '21/10', '11/5']"
"['2/1', '21/10', '11/10']"
"['EVS', '12/5', '21/10']"
"['1/4', '9/2', '13/2']"
"['8/13', '11/4', '7/2']"
"['8/5', '5/2', '5/4']"
"['7/5', '2/1', '7/4']"
"['8/11', '11/4', '11/4']"
"['10/11', '12/5', '12/5']"
"['4/11', '15/4', '5/1']"
"['9/2', '13/5', '8/15']"
"['11/4', '12/5', '4/5']"
"['4/7', '3/1', '7/2']"
"['2/5', '10/3', '5/1']"
"['5/4', '23/10', '7/4']"
"['1/5', '5/1', '8/1']"
"['13/20', '13/5', '19/5']"
"['8/13', '12/5', '4/1']"
"['3/4', '21/10', '19/5']"
"['5/2', '13/8', '5/4']"
"['12/5', '9/5', '19/10']"
"['23/10', '6/5', '23/20']"
"['23/10', '2/1', '1/2']"
"['3/1', '9/2', '13/10']"
"['23/10', '7/4', '2/13']"
"['5/1', '14/1', '6/5']"
"['2/1', '21/10', '7/2']"
"['5/2', '4/6', '10/11']"
"['9/4', '13/5', '4/7']"
"['3/1', '3/1', '4/7']"
"['3/1', '3/1', '4/11']"
"['16/5', '6/1', '23/20']"
"['21/10', '21/10', '8/13']"
"['5/2', '15/4', '5/4']"
"['2/1', '2/1', '6/4']"
"['11/5', '6/4', '8/5']"
"['17/10', '9/5', '6/4']"
"['15/8', '9/5', '8/11']"
"['9/4', '10/3', '8/15']"
"['13/5', '9/2']"
