"['17/10', '9/4', '8/5']"
"['9/1', '7/2', '4/11']"
"['6/4', '11/5', '15/8']"
"['2/13', '13/2', '16/1']"
"['11/10', '21/10', '11/4']"
"['1/5', '11/2', '12/1']"
"['4/1', '16/5', '8/13']"
"['3/1', '5/2', '10/11']"
"['19/20', '13/5', '11/4']"
"['3/1', '5/2', '10/11']"
"['23/20', '23/10', '12/5']"
"['3/4', '9/4', '9/2']"
"['19/20', '5/2', '14/5']"
"['EVS', '11/4', '12/5']"
"['10/11', '5/2', '3/1']"
"['11/10', '9/4', '13/5']"
"['23/20', '23/10', '21/10']"
"['13/10', '9/4', '15/8']"
"['8/5', '11/5', '7/4']"
"['15/8', '21/10', '7/5']"
"['5/6', '12/5', '3/1']"
"['11/20', '3/1', '5/1']"
"['16/5', '13/5', '5/6']"
"['4/9', '10/3', '5/1']"
"['11/10', '9/4', '9/4']"
"['21/10', '23/10', '23/20']"
"['5/2', '9/4', '23/20']"
"['21/20', '13/5', '12/5']"
"['13/10', '9/4', '21/10']"
"['6/5', '12/5', '11/5']"
"['4/6', '14/5', '4/1']"
"['17/20', '5/2', '16/5']"
"['6/5', '12/5', '11/5']"
"['23/10', '23/10', '6/5']"
"['EVS', '12/5', '11/4']"
"['19/10', '9/4', '7/5']"
"['29/20', '12/5', '9/5']"
"['19/20', '12/5', '3/1']"
"['17/10', '23/10', '8/5']"
"['11/8', '12/5', '19/10']"
"['1/8', '15/2', '18/1']"
"['23/20', '23/10', '12/5']"
"['9/5', '5/2', '7/5']"
"['15/8', '12/5', '11/8']"
"['11/8', '12/5', '19/10']"
"['11/8', '12/5', '19/10']"
"['10/1', '5/1', '1/4']"
"['11/5', '12/5', '6/5']"
"['7/4', '9/4', '8/5']"
"['7/5', '21/10', '21/10']"
"['3/4', '11/4', '7/2']"
"['1/16', '11/1', '28/1']"
"['8/5', '11/5', '7/4']"
"['4/6', '13/5', '9/2']"
"['11/20', '10/3', '9/2']"
"['18/1', '15/2', '1/8']"
"['6/4', '15/8', '11/5']"
"['4/5', '12/5', '19/5']"
"['8/13', '13/5', '5/1']"
"['23/20', '9/4', '5/2']"
"['11/20', '3/1', '5/1']"
"['8/15', '3/1', '5/1']"
"['9/5', '13/5', '11/8']"
"['1/8', '7/1', '14/1']"
"['7/5', '12/5', '17/10']"
"['4/5', '14/5', '14/5']"
"['4/11', '19/5', '6/1']"
"['21/20', '12/5', '9/4']"
"['19/5', '13/5', '13/20']"
"['6/4', '9/4', '8/5']"
"['17/5', '14/5', '4/6']"
"['11/8', '23/10', '7/4']"
"['1/2', '16/5', '9/2']"
"['23/20', '13/5', '15/8']"
"['13/10', '12/5', '7/4']"
"['8/13', '3/1', '10/3']"
"['23/20', '13/5', '19/10']"
"['10/11', '2/1', '10/3']"
"['3/4', '9/4', '15/4']"
"['4/7', '5/2', '5/1']"
"['23/20', '21/10', '23/10']"
"['EVS', '19/10', '3/1']"
"['13/20', '5/2', '4/1']"
"['2/5', '4/1', '6/1']"
"['13/10', '13/5', '15/8']"
"['EVS', '5/2', '23/10']"
"['6/1', '4/1', '1/3']"
"['4/6', '11/4', '7/2']"
"['19/5', '3/1', '4/7']"
"['7/2', '10/3', '8/15']"
"['6/4', '13/5', '11/8']"
"['13/10', '11/4', '6/4']"
"['9/2', '10/3', '4/9']"
"['4/6', '3/1', '16/5']"
"['1/8', '7/1', '12/1']"
"['4/9', '16/5', '5/1']"
"['19/5', '3/1', '4/7']"
"['1/6', '6/1', '10/1']"
"['11/8', '13/5', '6/4']"
"['10/3', '3/1', '4/7']"
"['10/11', '3/1', '21/10']"
"['23/20', '9/4', '9/4']"
"['9/5', '23/10', '11/8']"
"['6/4', '9/4', '17/10']"
"['11/10', '21/10', '5/2']"
"['21/20', '11/5', '13/5']"
"['6/4', '2/1', '15/8']"
"['11/8', '21/10', '2/1']"
"['6/4', '2/1', '15/8']"
"['EVS', '5/2', '12/5']"
"['15/8', '2/1', '6/4']"
"['EVS', '2/1', '3/1']"
"['29/20', '21/10', '9/5']"
"['29/20', '11/5', '17/10']"
"['4/9', '10/3', '5/1']"
"['21/20', '12/5', '9/4']"
"['10/3', '13/5', '8/11']"
