"['13/5', '11/5', 'EVS']"
"['4/7', '5/2', '5/1']"
"['EVS', '2/1', '3/1']"
"['15/8', '2/1', '29/20']"
"['17/20', '11/5', '17/5']"
"['8/11', '12/5', '19/5']"
"['7/10', '11/4', '7/2']"
"['29/20', '11/5', '17/10']"
"['9/4', '15/8', '13/10']"
"['4/1', '14/5', '6/10']"
"['19/20', '9/4', '11/4']"
"['7/5', '11/5', '17/10']"
"['17/10', '21/10', '6/4']"
"['11/8', '23/10', '7/4']"
"['11/4', '12/5', '17/20']"
"['4/6', '11/4', '7/2']"
"['17/10', '12/5', '11/8']"
"['10/11', '11/5', '3/1']"
"['12/5', '12/5', 'EVS']"
