Wimbledon   v   MK Dons
Forest Green   v   Swindon
Nice   v   Angers
Lille   v   Monaco
Bayern Munich   v   Wolfsburg
Porto   v   Portimonense
Chongqing Lifan   v   Guangzhou Evergrande
Beijing Guoan   v   Shanghai East Asia
Belgrano   v   Tigre
Spartans   v   Vale of Leithen
Almeria   v   Sevilla Atletico
Aue   v   Sandhausen
Duisburg   v   Holstein Kiel
Orleans   v   Tours
Valenciennes   v   Auxerre
Brest   v   Paris F.C.
Sochaux   v   Ajaccio
Nimes   v   Niort
Bourg-en-Bresse   v   Le Havre
Gazelec Ajaccio   v   Chateauroux
Quevilly Rouen   v   Reims
Trabzonspor   v   Alanyaspor
Liefering   v   BW Linz
Wacker Innsbruck   v   Hartberg
Wiener Neustadt   v   Lustenau
Kapfenberg   v   Wattens
Floridsdorfer   v   Ried
MVV Maastricht   v   Cambuur Leeuwarden
Waalwijk   v   Jong FC Utrecht
Fortuna Sittard   v   Jong AZ Alkmaar
Helmond Sport   v   Dordrecht
Emmen   v   Go Ahead Eagles
Volendam   v   De Graafschap
Almere   v   Oss
FC Eindhoven   v   Den Bosch
Galway   v   Sligo Rovers
Limerick   v   Cork City
Bohemians   v   St Patricks
Dundalk   v   Drogheda
Shamrock Rovers   v   Finn Harps
Warrenpoint Town   v   Linfield
Piast Gliwice   v   Arka Gdynia
Slask Wroclaw   v   Lech Poznan
New Saints   v   Llandudno
Everton Ladies   v   Liverpool Ladies
Juventude   v   Boa
